product_name,category
优百润珍珠奶茶180g,即饮奶茶
心业白桃蜜柚果汁茶饮料500ml,即饮茶
克朗蜜险纪超萌手电筒压片糖果15g,硬糖
因特力净儿童酵素牙膏植物原味40g,牙膏
佳纯杨枝甘露果汁480ml,非冷藏即饮果汁
怡亿盛园冰杨梅汁370ml,冷藏即饮果汁
三祖龙尊合赢天下白酒浓香型39度500ml,白酒
优蕴非浓缩复原百香果汁300ml,冷藏即饮果汁
日清兵卫太郎咖喱乌冬面87g/碗,方便面
迪源山楂树下山楂果汁饮料350ml,非冷藏即饮果汁
植然乐轻油柑油甘柠檬复合果汁饮品1L,冷藏即饮果汁
欧乐B抗敏护龈牙膏劲速140g,牙膏
营养卫士脆花香烤面红烧牛肉味26g/袋,方便面
一扫光熊仔果汁软糖草莓味20g,软糖
乐天泡泡糖蓝莓味15g,口香糖
小浪漫黄桃多肉果汁400g,非冷藏即饮果汁
fe金典牙医生物儿童早晚牙膏坚固牙齿+防龋防蛀45g,牙膏
依可侬果味CC乐糖50g,硬糖
纳美极简生活健齿护龈牙膏180g,牙膏
航天菠萝爽果粒果汁饮料240ml,非冷藏即饮果汁
九叔奶茶风味饮料烤奶味420ml,即饮奶茶
豫百福韩式火鸡面清真110g/袋,方便面
金稻谷弹力果汁软糖60g,软糖
樱美堂ZA02沢印氨基酸物语清甜果香牙膏,牙膏
莎卡婴幼儿苹果味婴幼儿牙膏2岁20g,牙膏
贝壳熊雪糕棒糖草莓味38g,硬糖
亲宠奶茶风味饮料420ml,即饮奶茶
万客泉52度红高粱酒1.5L,白酒
东北坊小米酒45度125ml,白酒
舒客专研美白酵素牙膏鲜萃青柠120g,牙膏
三坡竹珍珠奶茶420g,即饮奶茶
滋百丽跳跳糖葡萄味20g,硬糖
淳茶舍武夷山大红袍茶饮料原味无糖480ml,即饮茶
港他柠檬茶味饮料310ml,即饮茶
阿斯塔特三色海星形软糖混合胶型凝胶糖果50g,软糖
中仸茉莉蜜茶1L,即饮茶
中拦山陈酿白酒42度100ml,白酒
曼妥思劲嚼充气糖10g,软糖
植控小苏打净白牙膏清新薄荷香型180g,牙膏
丰特典藏珍藏级壹号白酒52度500ml,白酒
康美金银花清热去火牙膏180g,牙膏
琦琦纯晶薄荷糖335g,硬糖
平冶蓝莓果粒果汁320ml,非冷藏即饮果汁
糖某某软糖可乐味60g,软糖
亿品新源拉面丸子怪味2号80g,方便面
彩伦果汁软糖综合味450g,软糖
今谷果园果粒橙2L,非冷藏即饮果汁
唐乐士小苏打牙膏清热祛火180g,牙膏
两岸一家亲台湾高粱酒53度258ml,白酒
一品街维C夹心泡泡糖80g,口香糖
百怡草莓酸酸果味饮料250ml,非冷藏即饮果汁
樱花梦儿童VC营养牙膏草莓味60g,牙膏
世纪小绵曲110ml,白酒
合合牛软糖玉米味239g,软糖
久诚二锅头白酒56度4.5L,白酒
锦星冷榨芒果饮料1.5L,冷藏即饮果汁
隆广川芒果汁饮料248ml,非冷藏即饮果汁
严东关糟烧王白酒50度3.85L,白酒
植贝美小苏打酵素牙膏200g,牙膏
乖乖爱跳跳糖葡萄味30g,硬糖
易爽达云南西瓜霜360度全面护理牙膏180g,牙膏
淳茶舍无糖武夷大红袍茶饮料480ml*12,即饮茶
火烈谷珍珠奶茶蜜桃味400ml,即饮奶茶
晟兴冰沙奶茶400ml,即饮奶茶
渔夫之宝润喉糖原味11g,硬糖
冠芳山楂树下果肉果汁1.25L*6,非冷藏即饮果汁
习水特曲浓香型白酒52度500ml,白酒
五粮液丝路花雨白酒礼盒52度500ml*2,白酒
丰淳贵宾酒45度500ml,白酒
乐佰草云南佰草清炎消止牙膏100g,牙膏
小橙有约猕猴桃复合果汁饮料985ml,非冷藏即饮果汁
骑士小明牛轧糖奶香味21g,软糖
KELLYONECHACHA果汁茶饮料杨梅黄金桂味350ml,即饮茶
统一小野黑糖姜茶CAN245ml*12,即饮茶
益果鲜果汁饮料芒果味500ml,非冷藏即饮果汁
一风堂鱼介豚骨风味碗面102g*6/碗,方便面
斐素茉莉奶绿牛乳茶750g,即饮奶茶
东方缘酿酒老方瓶白酒42度500ml,白酒
标榜保护除渍牙膏120g,牙膏
御善杞道河南烩面152g*12,方便面
沄晗风味饮料柠檬味180ml,非冷藏即饮果汁
中拦山陈酿老白干白酒53度500ml,白酒
悦氏青梅绿茶饮料茉莉味550ml,即饮茶
御盐清粉盐多效护理牙膏100g,牙膏
陈李济蜜炼桔红喉糖28.8g,硬糖
千喜多冷榨蓝莓汁1.5L,冷藏即饮果汁
清至无糖口香糖10.8g,口香糖
艾克弗瑞本草沁爽牙膏100ml,牙膏
轩仔爆笑跳跳糖15g,硬糖
锦星冷榨猕猴桃汁1.5L,冷藏即饮果汁
屈臣氏果汁先生100%椰子水350ml,非冷藏即饮果汁
搜茶记青橘红提500ml,即饮茶
肖小涵芝麻酥糖400g,软糖
神农浅尝无糖玉须茉莉茶475ml,即饮茶
天鲜美冰红茶1L,即饮茶
泡沫童话积木形软糖92g,软糖
甑小鹿脆脆酥干吃面50g/袋,方便面
